Statefips,Countyfips,Year,Total population,White Alone,Black Alone,American Indian or Alaskan Native,Asian Alone,Hawaiian or Pacific Islander Alone,Two or More Races,Not Hispanic,Hispanic,White %,Balck %,AI/AN %,Asian %,Hawiian %,Multiracial %,Not hispanic %,Hispanic %
19,0,2019,3155070,2859080,128105,17060,84119,4804,61902,2956520,198550,90.61859166,4.060290263,0.540717005,2.666153207,0.152262866,1.961984996,93.7069542,6.293045796
20,0,2019,2913314,2513846,178725,35063,92862,3687,89131,2557241,356073,86.28819276,6.134766112,1.203543456,3.18750399,0.126556904,3.059436779,87.77773354,12.22226646
21,0,2019,4467673,3909923,378479,13404,71504,4192,90171,4292967,174706,87.51587236,8.471501831,0.300021958,1.600475236,0.093829607,2.018299012,96.08955266,3.91044734
22,0,2019,4648794,2918843,1524733,36596,84192,2854,81576,4401822,246972,62.78710134,32.79846343,0.787214921,1.81105035,0.061392266,1.754777691,94.68739634,5.312603656
23,0,2019,1344212,1269326,22691,9767,17420,455,24553,1320512,23700,94.42900376,1.688052182,0.726596698,1.295926535,0.033848827,1.826571999,98.23688525,1.763114747
24,0,2019,6045680,3539444,1878645,36840,406303,6705,177743,5401858,643822,58.54501065,31.07417197,0.609360734,6.720550873,0.110905638,2.940000132,89.35070993,10.64929007
25,0,2019,6892503,5554165,621902,34310,497517,7410,177199,6037596,854907,80.58269978,9.022876015,0.497787233,7.218234073,0.107508114,2.570894782,87.59656688,12.40343312
26,0,2019,9986857,7911567,1407890,73865,336384,4186,252965,9458652,528205,79.21978857,14.09742825,0.739622085,3.368266913,0.041915089,2.532979094,94.71099867,5.289001334
27,0,2019,5639632,4723931,395556,77479,292507,4214,145945,5324502,315130,83.76310724,7.013861897,1.373830775,5.186632745,0.074721187,2.587846157,94.41222406,5.58777594
28,0,2019,2976149,1758081,1124559,18705,33032,1806,39966,2876039,100110,59.07234483,37.78570898,0.628496759,1.109890667,0.060682446,1.342876314,96.63625712,3.363742877
29,0,2019,6137428,5086188,725579,35839,133312,9857,146653,5868720,268708,82.87165243,11.82219979,0.583941677,2.172115094,0.160604735,2.38948628,95.62181422,4.378185781
30,0,2019,1068778,950211,6389,71096,9833,920,30329,1025489,43289,88.90630234,0.597785508,6.652083033,0.92002268,0.086079616,2.837726824,95.94967337,4.050326635
31,0,2019,1934408,1704129,100763,29285,53187,2349,44695,1714763,219645,88.09563443,5.208983834,1.51389986,2.749523368,0.1214325,2.310526011,88.64536334,11.35463666
32,0,2019,3080156,2277552,316303,51946,268166,24585,141604,2179556,900600,73.94274835,10.2690578,1.686473023,8.706247346,0.798173859,4.597299617,70.76122118,29.23877882
33,0,2019,1359711,1266097,24371,4114,40300,672,24157,1305122,54589,93.11515462,1.792366172,0.302564295,2.963865115,0.049422267,1.776627533,95.98524981,4.014750193
34,0,2019,8882190,6388804,1337457,55429,886810,10240,203450,7025346,1856844,71.92825193,15.05773914,0.624046547,9.984136795,0.115286883,2.290538707,79.09475028,20.90524972
35,0,2019,2096829,1716656,54772,229794,37550,3341,54716,1063887,1032942,81.86914622,2.6121348,10.9591197,1.790799345,0.159335835,2.6094641,50.73789994,49.26210006
36,0,2019,19453561,13546776,3421123,189748,1753199,27034,515681,15702503,3751058,69.63648455,17.58610159,0.975389544,9.012226605,0.138966845,2.650830868,80.71788502,19.28211498
37,0,2019,10488084,7399487,2330563,165597,334299,13130,245008,9462254,1025830,70.55137049,22.22105582,1.578906119,3.187417263,0.125189691,2.336060619,90.21909054,9.780909459
38,0,2019,762062,662555,25984,42465,12860,615,17583,730530,31532,86.94240101,3.409696324,5.57238125,1.687526737,0.080702095,2.307292582,95.86227892,4.137721078
39,0,2019,11689100,9552736,1525570,34010,291478,7055,278251,11218638,470462,81.72345176,13.05121866,0.290954821,2.493588044,0.060355374,2.380431342,95.97520767,4.024792328
40,0,2019,3956971,2927354,307819,371104,94253,8581,247860,3518861,438110,73.97966778,7.77915734,9.378486726,2.381948212,0.216857793,6.263882146,88.92814731,11.07185269
41,0,2019,4217737,3655136,93740,77115,204739,19245,167762,3650890,566847,86.66106967,2.222518853,1.828350132,4.854238185,0.456287341,3.977535821,86.56039957,13.43960043
42,0,2019,12801989,10447062,1540092,50687,481877,9994,272277,11801839,1000150,81.60499122,12.03009939,0.395930664,3.76407916,0.078065994,2.126833573,92.18754211,7.812457892
44,0,2019,1059361,885518,90108,11453,39536,2125,30621,886717,172644,83.58982443,8.50588232,1.081123432,3.73206112,0.200592621,2.890516075,83.70300587,16.29699413
45,0,2019,5148714,3532048,1388017,28236,94111,5065,101237,4841596,307118,68.60058648,26.95851819,0.548408787,1.827854489,0.098374079,1.966257982,94.03505419,5.96494581
46,0,2019,884659,748070,20332,80004,13699,787,21767,847308,37351,84.56026559,2.298286684,9.043484552,1.548506261,0.088960831,2.460496078,95.77792121,4.22207879
47,0,2019,6829174,5354405,1164461,32661,134076,6578,136993,6437792,391382,78.40487005,17.0512715,0.478256961,1.963282822,0.096322044,2.005996626,94.26897016,5.731029843
48,0,2019,28995881,22806130,3739221,294902,1510470,43212,601946,17470303,11525578,78.65299902,12.89569715,1.017047904,5.209257136,0.149028064,2.075970721,60.25098185,39.74901815
