YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES
2017,Year,State,CT,Connecticut,Total,9,654718,469847,184871,587661,402823,184838
2017,Year,State,DE,Delaware,Total,10,193585,171150,22435,179142,156719,22423
2017,Year,State,DC,District of Columbia,Total,11,91051,76569,14481,74444,60015,14429
2017,Year,State,FL,Florida,Total,12,4295216,2468028,1827188,4026464,2199974,1826490
2017,Year,State,GA,Georgia,Total,13,1624056,1051459,572597,1491383,919605,571778
2017,Year,State,HI,Hawaii,Total,15,259408,142266,117142,225191,108107,117084
2017,Year,State,ID,Idaho,Total,16,306390,210393,95997,284687,188702,95986
2017,Year,State,IL,Illinois,Total,17,2149620,1632353,517267,1942349,1425135,517214
2017,Year,State,IN,Indiana,Total,18,1204903,883826,321077,1118968,797976,320992
2017,Year,State,IA,Iowa,Total,19,598167,490174,107992,557055,449072,107983
2017,Year,State,KS,Kansas,Total,20,509925,429826,80099,468589,388508,80081
2017,Year,State,KY,Kentucky,Total,21,895963,637614,258349,827687,571571,256117
2017,Year,State,LA,Louisiana,Total,22,828719,551527,277191,768892,491732,277160
2017,Year,State,ME,Maine,Total,23,322151,231144,91006,296986,205995,90991
2017,Year,State,MD,Maryland,Total,24,984017,872710,111306,854840,743622,111218
2017,Year,State,MA,Massachusetts,Total,25,1275550,984994,290556,1144087,853597,290490
2017,Year,State,MI,Michigan,Total,26,1981476,1260713,720763,1859975,1139439,720536
2017,Year,State,MN,Minnesota,Total,27,967270,412908,554362,894386,340102,554284
2017,Year,State,MS,Mississippi,Total,28,580012,481209,98804,545769,446980,98789
2017,Year,State,MO,Missouri,Total,29,1182965,804778,378188,1092124,713966,378158
2017,Year,State,MT,Montana,Total,30,215492,170955,44537,198778,154254,44525
