YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES
2021,Year,State,MD,Maryland,Total,24,1075070,898929,176141,928810,752756,176054
2021,Year,State,MA,Massachusetts,Total,25,1374243,973092,401151,1236531,835463,401068
2021,Year,State,MI,Michigan,Total,26,2130074,1024125,1105949,1998834,893079,1105755
2021,Year,State,MN,Minnesota,Total,27,1068551,509904,558648,989229,430643,558586
2021,Year,State,MS,Mississippi,Total,28,614598,431483,183116,576562,393472,183090
2021,Year,State,MO,Missouri,Total,29,1263819,707230,556589,1170118,613608,556510
2021,Year,State,MT,Montana,Total,30,244107,188073,56034,225356,169349,56007
2021,Year,State,NE,Nebraska,Total,31,360404,272226,88178,331307,243152,88155
2021,Year,State,NV,Nevada,Total,32,561939,316990,244949,504846,259991,244855
2021,Year,State,NH,New Hampshire,Total,33,316557,234830,81726,283593,201878,81715
2021,Year,State,NJ,New Jersey,Total,34,1656791,1075739,581052,1471143,890274,580869
2021,Year,State,NM,New Mexico,Total,35,439390,252475,186915,399484,212662,186822
2021,Year,State,NY,New York,Total,36,3705610,1996240,1709370,3360200,1651049,1709151
2021,Year,State,NC,North Carolina,Total,37,2077983,1148968,929015,1944710,1015918,928793
2021,Year,State,ND,North Dakota,Total,38,137155,105943,31212,125755,94554,31201
2021,Year,State,OH,Ohio,Total,39,2407792,1227265,1180527,2225887,1055768,1170119
2021,Year,State,OK,Oklahoma,Total,40,763654,528377,235276,697909,462692,235217
2021,Year,State,OR,Oregon,Total,41,901861,459062,442799,831832,389141,442692
2021,Year,State,PA,Pennsylvania,Total,42,2805431,1493883,1311548,2566927,1255740,1311186
2021,Year,State,RI,Rhode Island,Total,44,228146,111983,116163,202850,86714,116136
2021,Year,State,SC,South Carolina,Total,45,1133973,712041,421932,1060906,639090,421817
2021,Year,State,SD,South Dakota,Total,46,184567,136475,48092,169915,121832,48083
2021,Year,State,TN,Tennessee,Total,47,1406240,766844,639395,1306081,666869,639212
2021,Year,State,TX,Texas,Total,48,4386864,2347931,2038933,4003614,1970810,2032804
2021,Year,State,UT,Utah,Total,49,427555,242369,185187,386774,201648,185127
2021,Year,State,VT,Vermont,Total,50,155077,124384,30694,142268,111585,30683
2021,Year,State,VA,Virginia,Total,51,1575524,1112731,462792,1418293,955601,462692
2021,Year,State,WA,Washington,Total,53,1431948,865220,566729,1304123,737540,566584
2021,Year,State,WV,West Virginia,Total,54,444287,254195,190092,415045,225000,190045
2021,Year,State,WI,Wisconsin,Total,55,1225485,622437,603048,1148945,545957,602988
2021,Year,State,WY,Wyoming,Total,56,117393,110505,6888,108209,101334,6876
2021,Year,State,AS,American Samoa,Total,60,4770,4465,305,2815,2510,305
2021,Year,State,GU,Guam,Total,66,18212,18082,129,12409,12280,129
2021,Year,State,MP,Northern Mariana Islands,Total,69,2809,2788,21,2083,2062,21
2021,Year,State,PR,Puerto Rico,Total,72,754752,138182,616570,657234,40682,616552
2021,Year,State,VI,Virgin Islands,Total,78,20370,14753,5617,18391,12775,5617
2021,Year,State,UK,Unknown,Unknown,99,*,*,*,*,*,*
2021,Year,State,FO,Foreign and Other Outlying Areas,Total,     ,500965,496487,4478,49033,44561,4472
