Statefips,Countyfips,Year,Total Population,Population 65+,Male Population,Female Population,Pop 65+ %
53,0,2017,7423362,1116206,3715398,3712553,15.03639456
54,0,2017,1817004,352760,900185,918498,19.41437663
55,0,2017,5790186,952262,2881163,2911984,16.44613835
56,0,2017,578931,91869,295879,284115,15.86873047
72,0,2017,3325286,654785,1580779,1744505,19.69108823
1,0,2018,4887681,826452,2365445,2526183,16.90887765
2,0,2018,735139,87090,384304,352320,11.84673919
4,0,2018,7158024,1256172,3560169,3604059,17.54914485
5,0,2018,3009733,510626,1479090,1533071,16.96582388
6,0,2018,39461588,5658656,19607822,19829641,14.33965607
8,0,2018,5691287,807300,2868175,2828980,14.18484079
9,0,2018,3571520,614593,1743201,1831360,17.20816347
10,0,2018,965479,181300,467559,499426,18.77824375
11,0,2018,701547,85451,334326,369821,12.1803671
12,0,2018,21244317,4350744,10391264,10863662,20.47956637
13,0,2018,10511131,1459538,5115616,5403773,13.8856418
15,0,2018,1420593,261520,713382,709720,18.40921362
16,0,2018,1750536,277164,878348,873726,15.83309341
17,0,2018,12723071,1991073,6252095,6472590,15.6493114
18,0,2018,6695497,1052704,3303131,3395350,15.72256697
19,0,2018,3148618,538360,1567300,1582600,17.09829519
20,0,2018,2911359,461157,1451427,1461321,15.83992218
21,0,2018,4461153,729389,2198928,2265345,16.3497867
22,0,2018,4659690,718467,2276587,2387863,15.41877249
23,0,2018,1339057,276037,656203,683920,20.61428304
24,0,2018,6035802,930981,2927093,3115060,15.42431312
25,0,2018,6882635,1136825,3341301,3544419,16.51729316
26,0,2018,9984072,1713356,4918489,5068797,17.16089387
27,0,2018,5606249,888494,2793439,2815323,15.8482793
28,0,2018,2981020,473070,1446874,1536005,15.86940041
29,0,2018,6121623,1032838,3006980,3119006,16.87196353
30,0,2018,1060665,198374,534397,527421,18.70279494
31,0,2018,1925614,302877,960937,964575,15.72885324
32,0,2018,3027341,475935,1520265,1510460,15.72122202
33,0,2018,1353465,244291,671576,683488,18.04930309
34,0,2018,8886025,1441683,4344196,4547534,16.22416097
35,0,2018,2092741,365026,1036336,1057418,17.44248333
36,0,2018,19530351,3221825,9490554,10053544,16.49650331
37,0,2018,10381615,1687449,5055337,5336021,16.25420515
38,0,2018,758080,116563,389111,370951,15.37608168
39,0,2018,11676341,1991304,5724669,5956223,17.05417819
40,0,2018,3940235,618520,1953313,1990175,15.69754088
41,0,2018,4181886,737405,2074151,2109387,17.63331186
42,0,2018,12800922,2334899,6276611,6532496,18.24008458
44,0,2018,1058287,181930,515433,543905,17.19098883
45,0,2018,5084156,899564,2468034,2623668,17.69347754
46,0,2018,878698,146259,443549,435837,16.6449679
47,0,2018,6771631,1107324,3307310,3470870,16.35239723
48,0,2018,28628666,3592230,14215238,14409326,12.54766813
49,0,2018,3153550,349123,1588994,1566159,11.07079323
50,0,2018,624358,121009,308449,316353,19.38134852
51,0,2018,8501286,1314756,4187848,4323072,15.46537783
53,0,2018,7523869,1162747,3766014,3760779,15.45411011
54,0,2018,1804291,360104,893934,912019,19.95819965
55,0,2018,5807406,983260,2890585,2918734,16.93113931
56,0,2018,577601,95525,295124,283930,16.53823314
72,0,2018,3193354,661408,1517003,1676341,20.71201627
1,0,2019,4903185,849837,2371832,2536133,17.33234622
2,0,2019,731545,91588,382813,350790,12.51980398
4,0,2019,7278717,1308633,3622802,3669041,17.97889656
5,0,2019,3017804,523882,1482909,1538076,17.35970925
6,0,2019,39512223,5838115,19608525,19829085,14.77546581
8,0,2019,5758736,842412,2900876,2857610,14.62841846
9,0,2019,3565287,630244,1739032,1826990,17.67723047
10,0,2019,973764,188906,472097,504571,19.39956704
11,0,2019,705749,87343,335860,372393,12.37592969
12,0,2019,21477737,4497337,10504982,10987074,20.93952915
13,0,2019,10617423,1516954,5165685,5462335,14.28740288
15,0,2019,1415872,268448,709196,706419,18.95990598
16,0,2019,1787065,290670,897065,891995,16.26521699
17,0,2019,12671821,2043232,6223897,6443120,16.12421766
18,0,2019,6732219,1085743,3319439,3411571,16.12756507
19,0,2019,3155070,552954,1572960,1586636,17.52588691
20,0,2019,2913314,475487,1450555,1462080,16.32117238
21,0,2019,4467673,750564,2203309,2269036,16.79988665
22,0,2019,4648794,741022,2272316,2385969,15.94009113
23,0,2019,1344212,285265,659096,686674,21.22172693
24,0,2019,6045680,959396,2932474,3122480,15.86911646
25,0,2019,6892503,1169332,3346503,3548380,16.96527372
26,0,2019,9986857,1765401,4918052,5066743,17.6772432
27,0,2019,5639632,920382,2809390,2830663,16.31989463
28,0,2019,2976149,486693,1443640,1534587,16.3531127
29,0,2019,6137428,1062037,3012629,3127846,17.30426817
30,0,2019,1068778,206437,538637,531486,19.31523665
31,0,2019,1934408,312458,964970,967601,16.15264205
32,0,2019,3080156,495972,1549505,1541266,16.10217145
33,0,2019,1359711,253864,673969,686814,18.67043806
34,0,2019,8882190,1475535,4345560,4545698,16.61228819
35,0,2019,2096829,377606,1038980,1060654,18.00843083
36,0,2019,19453561,3296146,9451066,10012065,16.94366394
37,0,2019,10488084,1751094,5107629,5393755,16.69603333
38,0,2019,762062,119845,391046,372678,15.72641071
39,0,2019,11689100,2046320,5733873,5962634,17.50622375
40,0,2019,3956971,635132,1961516,1999160,16.05096424
41,0,2019,4217737,766080,2090110,2126006,18.16329468
42,0,2019,12801989,2393362,6272394,6526489,18.69523556
44,0,2019,1059361,187046,514961,543197,17.65649292
45,0,2019,5148714,937023,2497998,2659704,18.19916585
46,0,2019,884659,151871,447574,439553,17.16717967
47,0,2019,6829174,1143393,3331896,3498429,16.74277153
48,0,2019,28995881,3734229,14394891,14591903,12.87848091
49,0,2019,3205958,365872,1613538,1589845,11.41225181
50,0,2019,623989,125039,308308,315738,20.03865453
51,0,2019,8535519,1358906,4210784,4345858,15.9206019
53,0,2019,7614893,1209723,3811478,3802546,15.88627706
54,0,2019,1792147,367011,889160,906103,20.47884465
55,0,2019,5822434,1017243,2898849,2925732,17.47109542
56,0,2019,578759,99179,295710,284406,17.13649377
72,0,2019,3193694,679656,1515598,1677955,21.28118724
